stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,13.6038726,13.6038726,space,0.8757429,None,,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
mountain,,0,0,0,1,,,,,,,,,,14.5205963,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
green,,0,1,1,3,,,,,,,,,,15.5200813,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
computer,,0,2,2,0,,,,,,,,,,16.5210624,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
machine,,0,3,3,4,,,,,,,,,,17.5203668,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
circle,,0,4,4,5,,,,,,,,,,18.5203421,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
hill,,0,5,5,2,,,,,,,,,,19.520315,,,,,,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
,,,,,,,,,,,,,,,,20.520203,20.520203,space,4.2042275,None,,,,,,,,,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
country,new ,,,,,0,0,0,8,,,,,,,,,,,,24.753719,24.753719,n,1,1.3717834,None,26.1534809,28.1532851,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
button ,new ,,,,,0,1,1,7,,,,,,,,,,,,28.1532851,28.1532851,y,0,1.5962284,None,29.7701233,31.7706729,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
machine,old,,,,,0,2,2,4,,,,,,,,,,,,31.7706729,31.7706729,y,1,2.5020425,None,34.3042225,36.30367,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
hill,old,,,,,0,3,3,2,,,,,,,,,,,,36.30367,36.30367,y,1,4.8882691,None,41.2198655,43.2204223,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
circle,old,,,,,0,4,4,5,,,,,,,,,,,,43.2204223,43.2204223,n,0,0.9262351,None,44.1703526,46.1697832,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
computer,old,,,,,0,5,5,0,,,,,,,,,,,,46.1697832,46.1697832,n,0,1.3625045,None,47.5537934,49.5542552,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
mountain,old,,,,,0,6,6,1,,,,,,,,,,,,49.5542552,49.5542552,y,1,1.0617839,None,50.6364346,52.6364206,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
green,old,,,,,0,7,7,3,,,,,,,,,,,,52.6364206,52.6364206,y,1,0.7168724,None,53.3696744,55.3698248,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
android ,new ,,,,,0,8,8,6,,,,,,,,,,,,55.3698248,55.3698248,n,1,0.6679494,None,56.0698429,58.0702303,,,,,,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0702303,58.0702303,space,3.7008659,None,1,1,2023-11-29_20h24.52.068,memory experiment,2023.1.3,59.66476755
