stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.377343599917367,10.377343599917367,space,0.8610122997779399,None,,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
computer,,0,0,0,0,,,,,,,,,,11.278132400009781,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
hill,,0,1,1,2,,,,,,,,,,12.277664099819958,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
mountain,,0,2,2,1,,,,,,,,,,13.277953299926594,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
green,,0,3,3,3,,,,,,,,,,14.279125799890608,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
circle,,0,4,4,5,,,,,,,,,,15.277539499802515,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
machine,,0,5,5,4,,,,,,,,,,16.277544799959287,,,,,,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
,,,,,,,,,,,,,,,,17.279025999829173,17.279025999829173,space,1.4379082000814378,None,,,,,,,,,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
android ,new ,,,,,0,0,0,6,,,,,,,,,,,,18.7437144999858,18.7437144999858,n,1,1.7045032000169158,None,20.477134799817577,22.476980899926275,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
machine,old,,,,,0,1,1,4,,,,,,,,,,,,22.476980899926275,22.476980899926275,y,1,0.6670289000030607,None,23.16039039986208,25.160643099807203,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
button ,new ,,,,,0,2,2,7,,,,,,,,,,,,25.160643099807203,25.160643099807203,n,1,1.426414499990642,None,26.61025599995628,28.610547999851406,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
country,new ,,,,,0,3,3,8,,,,,,,,,,,,28.610547999851406,28.610547999851406,n,1,0.8730830000713468,None,29.51127459993586,31.510600899811834,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
mountain,old,,,,,0,4,4,1,,,,,,,,,,,,31.510600899811834,31.510600899811834,y,1,0.5845175001304597,None,32.1108059999533,34.11072669993155,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
green,old,,,,,0,5,5,3,,,,,,,,,,,,34.11072669993155,34.11072669993155,y,1,0.7011827998794615,None,34.84453099989332,36.84359740000218,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
circle,old,,,,,0,6,6,5,,,,,,,,,,,,36.84359740000218,36.84359740000218,y,1,0.6366662001237273,None,37.511174799874425,39.51075559994206,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
computer,old,,,,,0,7,7,0,,,,,,,,,,,,39.51075559994206,39.51075559994206,y,1,1.1629449999891222,None,40.69331489992328,42.69330169982277,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
hill,old,,,,,0,8,8,2,,,,,,,,,,,,42.69330169982277,42.69330169982277,y,1,1.028563000028953,None,43.743738799821585,45.74531149980612,,,,,,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.74531149980612,45.74531149980612,space,0.5567369000054896,None,4,001,2023-11-29_20h28.51.875,memory experiment,2023.1.3,60.236174050483854,
