stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textStudy.stopped,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,14.420016200048849,14.420016200048849,15.422109400155023,space,1.2510680998675525,None,,,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
machine,,0,0,0,4,,,,,,,,,,,15.688923300011083,16.687954500084743,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
mountain,,0,1,1,1,,,,,,,,,,,16.687954500084743,17.688705099979416,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
hill,,0,2,2,2,,,,,,,,,,,17.688705099979416,18.688805000158027,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
green,,0,3,3,3,,,,,,,,,,,18.688805000158027,19.68869850016199,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
computer,,0,4,4,0,,,,,,,,,,,19.68869850016199,20.688620400149375,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
circle,,0,5,5,5,,,,,,,,,,,20.688620400149375,21.688752900110558,,,,,,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
,,,,,,,,,,,,,,,,,,21.688752900110558,21.688752900110558,space,4.000120099866763,None,,,,,,,,,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
machine,old,,,,,0,0,0,4,,,,,,,,,,,,,,25.705710100010037,25.705710100010037,n,0,2.07656619977206,None,27.804474600125104,29.80547280004248,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
circle,old,,,,,0,1,1,5,,,,,,,,,,,,,,29.80547280004248,29.80547280004248,n,0,1.2945307998452336,None,31.12178559997119,33.121866500005126,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
hill,old,,,,,0,2,2,2,,,,,,,,,,,,,,33.121866500005126,33.121866500005126,y,1,7.548682499676943,None,40.68809529999271,42.688877700129524,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
computer,old,,,,,0,3,3,0,,,,,,,,,,,,,,42.688877700129524,42.688877700129524,n,0,5.594387699849904,None,48.304996700026095,50.304948300123215,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
mountain,old,,,,,0,4,4,1,,,,,,,,,,,,,,50.304948300123215,50.304948300123215,y,1,2.2931627000216395,None,52.62152640009299,54.62208400014788,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
android ,new ,,,,,0,5,5,6,,,,,,,,,,,,,,54.62208400014788,54.62208400014788,n,1,2.1892893998883665,None,56.838179300073534,58.83874010015279,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
green,old,,,,,0,6,6,3,,,,,,,,,,,,,,58.83874010015279,58.83874010015279,n,0,1.5712334997951984,None,60.438164400169626,62.43810930009931,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
country,new ,,,,,0,7,7,8,,,,,,,,,,,,,,62.43810930009931,62.43810930009931,y,0,3.2043119999580085,None,65.67127310018986,67.6718386001885,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
button ,new ,,,,,0,8,8,7,,,,,,,,,,,,,,67.6718386001885,67.6718386001885,n,1,3.8164452998898923,None,71.50546590005979,73.5046814000234,,,,,,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5046814000234,73.5046814000234,space,0.9747639999259263,None,control2,001,2023-11-30_16h12.23.125,memory experiment,2023.1.3,59.89917771735183,
