stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,13.975323500111699,13.975323500111699,space,0.8453657999634743,None,,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
mountain,,0,0,0,1,,,,,,,,,,14.858608800219372,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
machine,,0,1,1,4,,,,,,,,,,15.85824660002254,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
hill,,0,2,2,2,,,,,,,,,,16.858191000064835,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
computer,,0,3,3,0,,,,,,,,,,17.857916000066325,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
circle,,0,4,4,5,,,,,,,,,,18.858136700000614,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
green,,0,5,5,3,,,,,,,,,,19.85790070006624,,,,,,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
,,,,,,,,,,,,,,,,20.85940320021473,20.85940320021473,space,4.662586900172755,None,,,,,,,,,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
button ,new ,,,,,0,0,0,7,,,,,,,,,,,,25.542494900058955,25.542494900058955,n,1,2.986977499909699,None,28.55987530015409,30.560287300031632,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
circle,old,,,,,0,1,1,5,,,,,,,,,,,,30.560287300031632,30.560287300031632,n,0,1.5417464999482036,None,32.12609800021164,34.12779050017707,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
green,old,,,,,0,2,2,3,,,,,,,,,,,,34.12779050017707,34.12779050017707,n,0,2.2056396999396384,None,36.36052480014041,38.36025600018911,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
country,new ,,,,,0,3,3,8,,,,,,,,,,,,38.36025600018911,38.36025600018911,y,0,1.6212408000137657,None,40.01047670003027,42.010602900059894,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
mountain,old,,,,,0,4,4,1,,,,,,,,,,,,42.010602900059894,42.010602900059894,n,0,2.8479613000527024,None,44.87736470019445,46.87782760011032,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
hill,old,,,,,0,5,5,2,,,,,,,,,,,,46.87782760011032,46.87782760011032,y,1,2.8045147000811994,None,49.71033000014722,51.71048290003091,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
machine,old,,,,,0,6,6,4,,,,,,,,,,,,51.71048290003091,51.71048290003091,n,0,2.814085500082001,None,54.54332220018841,56.54375300020911,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
computer,old,,,,,0,7,7,0,,,,,,,,,,,,56.54375300020911,56.54375300020911,n,0,5.544046299997717,None,62.10980900004506,64.10986090009101,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
android ,new ,,,,,0,8,8,6,,,,,,,,,,,,64.10986090009101,64.10986090009101,n,1,6.2288222999777645,None,70.36056630010717,72.35967500018887,,,,,,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.35967500018887,72.35967500018887,space,1.690312499878928,None,control3,001,2023-11-30_16h13.42.345,memory experiment,2023.1.3,60.12440939531921,
