stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textStudy.stopped,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,12.552640799898654,12.552640799898654,space,0.2995410000439733,None,,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
green,,0,0,0,3,,,,,,,,,,12.87027859990485,13.872458500089124,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
computer,,0,1,1,0,,,,,,,,,,13.872458500089124,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
circle,,0,2,2,5,,,,,,,,,,14.872414600104094,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
hill,,0,3,3,2,,,,,,,,,,15.872556299902499,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
machine,,0,4,4,4,,,,,,,,,,16.87237889994867,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
mountain,,0,5,5,1,,,,,,,,,,17.872278599999845,,,,,,,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
,,,,,,,,,,,,,,,,,18.8727200999856,18.8727200999856,space,0.5300951001700014,None,,,,,,,,,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
android ,new ,,,,,0,0,0,6,,,,,,,,,,,,,19.42197240004316,19.42197240004316,y,0,2.2179118001367897,None,21.67070550005883,23.67234449996613,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
circle,old,,,,,0,1,1,5,,,,,,,,,,,,,23.67234449996613,23.67234449996613,n,0,2.045964799821377,None,25.73817149992101,27.73888730001636,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
hill,old,,,,,0,2,2,2,,,,,,,,,,,,,27.73888730001636,27.73888730001636,n,0,1.6307872000616044,None,29.38810530002229,31.388948400039226,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
computer,old,,,,,0,3,3,0,,,,,,,,,,,,,31.388948400039226,31.388948400039226,y,1,1.3966021998785436,None,32.80389379989356,34.80385400005616,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
country,new ,,,,,0,4,4,8,,,,,,,,,,,,,34.80385400005616,34.80385400005616,n,1,2.2412168998271227,None,37.07052919990383,39.071279499912634,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
mountain,old,,,,,0,5,5,1,,,,,,,,,,,,,39.071279499912634,39.071279499912634,n,0,1.401730899931863,None,40.50555339991115,42.50508309993893,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
green,old,,,,,0,6,6,3,,,,,,,,,,,,,42.50508309993893,42.50508309993893,n,0,1.9059277998749167,None,44.437928800005466,46.436958299949765,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
button ,new ,,,,,0,7,7,7,,,,,,,,,,,,,46.436958299949765,46.436958299949765,n,1,2.6981701999902725,None,49.154927500057966,51.154460799880326,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
machine,old,,,,,0,8,8,4,,,,,,,,,,,,,51.154460799880326,51.154460799880326,n,0,2.2941605001688004,None,53.471671199891716,55.47172709996812,,,,,,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.47172709996812,55.47172709996812,space,1.2380468999035656,None,control4,001,2023-11-30_16h15.12.372,memory experiment,2023.1.3,60.07546677454503,
