stim_word,old_new,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,keyWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,textStudy.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,textTest.started,keyTest.started,keyTest.keys,keyTest.corr,keyTest.rt,keyTest.duration,text.started,text.stopped,textEnd.started,keyEnd.started,keyEnd.keys,keyEnd.rt,keyEnd.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,14.758421800099313,14.758421800099313,15.758953200187534,space,0.99426079983823,None,,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
circle,,0,0,0,5,,,,,,,,,,,15.775211400119588,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
computer,,0,1,1,0,,,,,,,,,,,16.77839650004171,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
mountain,,0,2,2,1,,,,,,,,,,,17.777365800226107,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
hill,,0,3,3,2,,,,,,,,,,,18.77738600014709,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
machine,,0,4,4,4,,,,,,,,,,,19.77738650003448,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
green,,0,5,5,3,,,,,,,,,,,20.777274399995804,,,,,,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
,,,,,,,,,,,,,,,,,21.77775980019942,21.77775980019942,space,2.1813872000202537,None,,,,,,,,,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
android ,new ,,,,,0,0,0,6,,,,,,,,,,,,,23.977143099997193,23.977143099997193,n,1,11.822923199972138,None,35.82707690005191,37.82700230018236,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
computer,old,,,,,0,1,1,0,,,,,,,,,,,,,37.82700230018236,37.82700230018236,y,1,3.809342500055209,None,41.65958210011013,43.6594559000805,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
green,old,,,,,0,2,2,3,,,,,,,,,,,,,43.6594559000805,43.6594559000805,n,0,1.8641496999189258,None,45.54281500005163,47.542810400016606,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
button ,new ,,,,,0,3,3,7,,,,,,,,,,,,,47.542810400016606,47.542810400016606,y,0,2.1299101000186056,None,49.69342490006238,51.69346250011586,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
country,new ,,,,,0,4,4,8,,,,,,,,,,,,,51.69346250011586,51.69346250011586,y,0,2.519320799736306,None,54.243218100164086,56.243247400037944,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
machine,old,,,,,0,5,5,4,,,,,,,,,,,,,56.243247400037944,56.243247400037944,n,0,2.6972304000519216,None,58.95983450021595,60.959525200072676,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
circle,old,,,,,0,6,6,5,,,,,,,,,,,,,60.959525200072676,60.959525200072676,y,1,2.0554157998412848,None,63.042919400148094,65.04305070010014,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
hill,old,,,,,0,7,7,2,,,,,,,,,,,,,65.04305070010014,65.04305070010014,n,0,4.678180000046268,None,69.7429474000819,71.7429166000802,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
mountain,old,,,,,0,8,8,1,,,,,,,,,,,,,71.7429166000802,71.7429166000802,n,0,4.158961699809879,None,75.9257997001987,77.92578630009666,,,,,,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.92578630009666,77.92578630009666,space,1.0274775000289083,None,control5,001,2023-11-30_16h16.16.729,memory experiment,2023.1.3,60.35629532554274,
