stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,15.560661600000458,16.058216200006427,16.058216200006427,16.07206249999581,16.37241880001966,left,-10.0,1,1,11.974605099996552,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
1,2,8.0,28.058020600001328,28.538569099997403,28.538569099997403,28.57184440002311,28.83820850000484,left,-8.0,1,1,3.036615000019083,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
2,2,6.0,31.605970300006447,32.1054967000091,32.1054967000091,32.1054967000091,32.405893600021955,right,6.0,1,1,0.3109282999939751,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
3,2,4.0,32.43920610001078,32.93822920002276,32.93822920002276,32.93822920002276,33.23835620001773,left,-4.0,1,1,0.493707000016002,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
4,2,2.0,33.45770030000131,33.9381701000093,33.9381701000093,33.97205740000936,34.23855090001598,right,2.0,1,1,0.5303609000111464,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
5,2,1.0,34.491035100014415,34.971909900021274,34.971909900021274,35.00505609999527,35.27156880000257,left,-1.0,1,1,0.5372786999796517,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
6,2,1.0,35.53847420000238,36.038921300001675,36.038921300001675,36.038921300001675,36.338428200018825,left,-1.0,1,1,0.6155978000024334,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
7,2,1.0,36.67217800000799,37.17213960000663,37.17213960000663,37.17213960000663,37.47170090000145,left,-1.0,1,1,0.5370771000161767,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
8,2,1.0,37.73925810001674,38.23879930001567,38.23879930001567,38.23879930001567,38.53856350001297,right,1.0,1,1,0.627125300001353,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
9,1,1.0,38.89149480001652,39.37232370002312,39.37232370002312,39.40552620001836,39.67170930001885,right,1.0,0,0,0.6592982000147458,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
10,1,2.0,40.058031499997014,40.53856590000214,40.53856590000214,40.572526200005086,40.83840170002077,left,-2.0,0,0,0.6706545000197366,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
11,1,3.0,41.23882230001618,41.73883460002253,41.73883460002253,41.73883460002253,42.0383228000137,right,3.0,0,0,0.5258243999851402,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
12,1,4.0,42.29108750002342,42.77181360000395,42.77181360000395,42.805488300014986,43.07544030001736,right,4.0,1,1,0.4906957999919541,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
13,1,4.0,43.29094860001351,43.7719386999961,43.7719386999961,43.80532050001784,44.07170130001032,right,4.0,1,1,0.46225059998687357,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
14,1,4.0,44.2579072000226,44.73872069999925,44.73872069999925,44.771481700008735,45.038677300006384,left,-4.0,1,1,0.5129672000184655,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
