trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,13.0918785,13.0918785,0.0234366,[-0.22],[0.08583333333333333],[1],[0],[0],[1.0443969999905676],['target'],1,1,2023-09-26_11h17.58.741,visual search experiment,2023.1.3,59.96925976
1,0,1,0,5,14.1423541,14.1423541,0.0134159,[-0.275],[-0.38166666666666665],[1],[0],[0],[1.4709407999907853],['target'],1,1,2023-09-26_11h17.58.741,visual search experiment,2023.1.3,59.96925976
2,0,2,0,5,15.6259767,15.6259767,0.0135145,[0.2175],[-0.105],[1],[0],[0],[1.534406399994623],['target'],1,1,2023-09-26_11h17.58.741,visual search experiment,2023.1.3,59.96925976
3,0,3,0,10,17.1927963,17.1927963,0.0260575,[0.13666666666666666],[0.465],[1],[0],[0],[1.938059100008104],['target'],1,1,2023-09-26_11h17.58.741,visual search experiment,2023.1.3,59.96925976
4,0,4,0,5,19.1420085,19.1420085,0.0140921,[0.30083333333333334],[0.056666666666666664],[1],[0],[0],[1.2687960000039311],['target'],1,1,2023-09-26_11h17.58.741,visual search experiment,2023.1.3,59.96925976
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.268796,,,,,,,,,
,,,,,,,,,,,1.044397,,,,,,,,,
,,,,,,,,,,,1.4709408,,,,,,,,,
,,,,,,,,,,,1.5344064,,,,,,,,,
,,,,,,,,,,,1.9380591,,,,,,,,,
,,,,,,,mean_rt,1.45131986,,,1.268796,,,,,,,,,
,,,,,,,mean_rt set 5,1.32963505,,,,,,,,,,,,
,,,,,,,mean_rt set 10,1.9380591,,,,,,,,,,,,
