9.5607 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
10.9825 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AFC4730DF0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AFC4730D90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AFC4730A90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002AFC5724BB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.9826 	EXP 	window1: mouseVisible = True
10.9827 	EXP 	window1: backgroundImage = ''
10.9827 	EXP 	window1: backgroundFit = 'none'
10.9828 	EXP 	window1: mouseVisible = False
10.9829 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.9829 	EXP 	window1: recordFrameIntervals = False
11.1487 	EXP 	window1: recordFrameIntervals = True
11.3328 	EXP 	Screen (0) actual frame rate measured at 59.49Hz
11.3329 	EXP 	window1: recordFrameIntervals = False
14.0859 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
14.1392 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.1456 	EXP 	Imported C:/Users/Samarth Parmar/OneDrive/Documents/PSY310- Lab in Psychology/discounting.xlsx as conditions, 7 conditions, 3 params
14.1481 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
14.1484 	EXP 	New trial (rep=0, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
14.3147 	EXP 	text: height = 0.05
14.3147 	EXP 	text: height = 0.05
14.3147 	EXP 	text: height = 0.05
