delay,freq,condition,textbox.text,,,,,,
0.4,1000,exp,100,,,,,,
0.4,1000,exp,200,,,,,,
0.4,1000,exp,300,,,,,,
0.7,400,unexp,500,,,,,exp,unexp
0.1,1000,exp,150,,,,short,330,315
0.1,1000,exp,200,,,,medium,308,395
0.1,1000,exp,300,,,,long,372.5,360
0.7,1000,exp,500,,,,mean,336.8333333,356.6666667
0.7,1000,exp,300,,,,difference,19.83333333,
0.1,1000,exp,200,,,,,,
0.4,1000,exp,400,,,,,,
0.4,1000,exp,300,,,,,,
0.7,400,unexp,200,,,,,,
0.7,1000,exp,300,,,,,,
0.4,400,unexp,500,,,,,,
0.1,400,unexp,200,,,,,,
0.7,1000,exp,500,,,,,,
0.1,400,unexp,300,,,,,,
0.1,1000,exp,250,,,,,,
0.4,400,unexp,450,,,,,,
0.7,1000,exp,300,,,,,,
0.4,1000,exp,200,,,,,,
0.1,400,unexp,250,,,,,,
0.1,1000,exp,550,,,,,,
0.1,400,unexp,400,,,,,,
0.1,1000,exp,200,,,,,,
0.1,1000,exp,400,,,,,,
0.4,400,unexp,450,,,,,,
0.4,1000,exp,150,,,,,,
0.7,400,unexp,400,,,,,,
0.4,1000,exp,200,,,,,,
0.7,1000,exp,450,,,,,,
0.1,1000,exp,300,,,,,,
0.4,400,unexp,400,,,,,,
0.7,1000,exp,400,,,,,,
0.7,1000,exp,200,,,,,,
0.7,400,unexp,350,,,,,,
0.4,1000,exp,150,,,,,,
0.1,1000,exp,300,,,,,,
0.4,1000,exp,400,,,,,,
0.4,1000,exp,250,,,,,,
0.7,1000,exp,300,,,,,,
0.4,1000,exp,500,,,,,,
0.4,1000,exp,200,,,,,,
0.1,1000,exp,300,,,,,,
0.1,1000,exp,500,,,,,,
0.1,1000,exp,300,,,,,,
0.1,1000,exp,600,,,,,,
0.1,1000,exp,300,,,,,,
0.7,400,unexp,300,,,,,,
0.1,400,unexp,200,,,,,,
0.7,1000,exp,400,,,,,,
0.7,400,unexp,350,,,,,,
0.4,1000,exp,400,,,,,,
0.7,1000,exp,250,,,,,,
0.1,400,unexp,400,,,,,,
0.7,1000,exp,350,,,,,,
0.4,400,unexp,400,,,,,,
0.4,1000,exp,550,,,,,,
0.4,400,unexp,400,,,,,,
0.7,1000,exp,450,,,,,,
0.1,1000,exp,500,,,,,,
0.1,1000,exp,550,,,,,,
0.7,400,unexp,350,,,,,,
0.4,400,unexp,400,,,,,,
0.1,400,unexp,200,,,,,,
0.4,1000,exp,300,,,,,,
0.4,1000,exp,200,,,,,,
0.4,400,unexp,450,,,,,,
0.7,400,unexp,350,,,,,,
0.7,1000,exp,400,,,,,,
0.7,1000,exp,500,,,,,,
0.4,1000,exp,400,,,,,,
0.1,1000,exp,300,,,,,,
0.4,1000,exp,350,,,,,,
0.1,1000,exp,400,,,,,,
0.7,1000,exp,350,,,,,,
0.4,1000,exp,200,,,,,,
0.1,400,unexp,400,,,,,,
0.1,1000,exp,300,,,,,,
0.7,1000,exp,450,,,,,,
0.7,1000,exp,350,,,,,,
0.7,1000,exp,400,,,,,,
0.4,1000,exp,350,,,,,,
0.1,1000,exp,400,,,,,,
0.1,1000,exp,300,,,,,,
0.4,400,unexp,100,,,,,,
0.4,1000,exp,300,,,,,,
0.1,400,unexp,400,,,,,,
0.1,1000,exp,300,,,,,,
0.7,400,unexp,500,,,,,,
0.7,1000,exp,300,,,,,,
0.1,1000,exp,250,,,,,,
0.4,400,unexp,400,,,,,,
0.4,1000,exp,350,,,,,,
0.1,400,unexp,400,,,,,,
0.4,1000,exp,500,,,,,,
0.4,1000,exp,450,,,,,,
0.1,1000,exp,100,,,,,,
0.7,400,unexp,300,,,,,,
